angle_deg	amp_300	amp_500	amp_700	amp_900
4.70000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
4.75000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
4.80000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
4.85000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
4.90000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
4.95000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.00000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.05000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.10000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.15000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.20000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.25000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.30000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.35000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.40000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.45000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.50000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.55000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.60000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.65000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.70000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.75000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.80000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.85000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.90000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.95000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
6.00000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
6.05000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
6.10000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
6.15000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
6.20000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
6.25000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
6.30000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
6.35000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
6.40000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
6.45000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
6.50000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
6.55000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
6.60000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
6.65000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
6.70000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
6.75000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
